Gadsden city,Alabama,36856
Gainesville town,Alabama,208
Gantt town,Alabama,222
Garden City town,Alabama,492
Gardendale city,Alabama,13893
Geiger town,Alabama,170
Geneva city,Alabama,4452
Georgiana town,Alabama,1738
Geraldine town,Alabama,896
Glen Allen town,Alabama,510
Glencoe city,Alabama,5160
Glenwood town,Alabama,187
Good Hope town,Alabama,2264
Goodwater town,Alabama,1475
Gordo town,Alabama,1750
Gordon town,Alabama,332
Gordonville town,Alabama,326
Goshen town,Alabama,266
Graysville city,Alabama,2165
Greensboro city,Alabama,2497
Greenville city,Alabama,8135
Grimes town,Alabama,558
Grove Hill town,Alabama,1570
Guin city,Alabama,2376
Gulf Shores city,Alabama,9741
Guntersville city,Alabama,8197
Gurley town,Alabama,801
Gu-Win town,Alabama,176
Hackleburg town,Alabama,1516
Haleburg town,Alabama,103
Haleyville city,Alabama,4173
Hamilton city,Alabama,6885
Hammondville town,Alabama,488
Hanceville city,Alabama,2982
Harpersville town,Alabama,1637
Hartford city,Alabama,2624
Hartselle city,Alabama,14255
Hayden town,Alabama,444
Hayneville town,Alabama,932
Headland city,Alabama,4510
Heath town,Alabama,254
Heflin city,Alabama,3480
Helena city,Alabama,16793
Henagar city,Alabama,2344
Highland Lake town,Alabama,412
Hillsboro town,Alabama,552
Hobson City town,Alabama,771
Hodges town,Alabama,288
Hokes Bluff city,Alabama,4286
Holly Pond town,Alabama,798
Hollywood town,Alabama,1000
Homewood city,Alabama,25167
Hoover city,Alabama,81619
Hueytown city,Alabama,16105
Huntsville city,Alabama,180105
Hurtsboro town,Alabama,553
Hytop town,Alabama,354
Indian Springs Village city,Alabama,2363
Irondale city,Alabama,12349
Jackson city,Alabama,5228
Jacksons' Gap town,Alabama,828
Jacksonville city,Alabama,12548
Jasper city,Alabama,14352
Jemison city,Alabama,2585
Kansas town,Alabama,226
Kellyton town,Alabama,217
Kennedy town,Alabama,447
Killen town,Alabama,1108
Kimberly town,Alabama,2711
Kinsey town,Alabama,2198
Kinston town,Alabama,540
La Fayette city,Alabama,3003
Lakeview town,Alabama,143
Lake View town,Alabama,1943
Lanett city,Alabama,6468
Langston town,Alabama,270
Leeds city,Alabama,11773
Leesburg town,Alabama,1027
Leighton town,Alabama,729
Lester town,Alabama,111
Level Plains town,Alabama,2085
Lexington town,Alabama,735
Libertyville town,Alabama,117
Lincoln city,Alabama,6266
Linden city,Alabama,2123
Lineville city,Alabama,2395
Lipscomb city,Alabama,2210
Lisman town,Alabama,539
Littleville town,Alabama,1011
Livingston city,Alabama,3485
Loachapoka town,Alabama,180
Lockhart town,Alabama,516
Locust Fork town,Alabama,1186
Lowndesboro town,Alabama,115
Loxley town,Alabama,1632
Luverne city,Alabama,2800
Lynn town,Alabama,659
McIntosh town,Alabama,238
McKenzie town,Alabama,530
McMullen town,Alabama,10
Madison city,Alabama,42938
Madrid town,Alabama,350
Malvern town,Alabama,1448
Maplesville town,Alabama,708
Margaret town,Alabama,4428
Marion city,Alabama,3686
Maytown town,Alabama,385
Memphis town,Alabama,29
Mentone town,Alabama,360
Midfield city,Alabama,5365
Midway town,Alabama,499
Millbrook city,Alabama,14640
Millport town,Alabama,1049
Millry town,Alabama,546
Mobile city,Alabama,195111
Monroeville city,Alabama,6519
Montevallo city,Alabama,6323
Montgomery city,Alabama,205764
Moody city,Alabama,11726
Morris town,Alabama,1859
Mosses town,Alabama,1029
Moulton city,Alabama,3471
Moundville town,Alabama,2427
Mountain Brook city,Alabama,20413
Mount Vernon town,Alabama,1574
Mulga town,Alabama,836
Munford town,Alabama,1292
Muscle Shoals city,Alabama,13146
Natural Bridge town,Alabama,37
Nauvoo town,Alabama,221
Nectar town,Alabama,345
Needham town,Alabama,94
Newbern town,Alabama,186
New Brockton town,Alabama,1146
New Hope city,Alabama,2810
New Site town,Alabama,773
Newton town,Alabama,1511
North Courtland town,Alabama,632
North Johns town,Alabama,145
Northport city,Alabama,23330
Notasulga town,Alabama,965
Oak Grove town,Alabama,528
Oak Hill town,Alabama,26
Oakman town,Alabama,789
Odenville town,Alabama,3585
Ohatchee town,Alabama,1170
Oneonta city,Alabama,6567
Onycha town,Alabama,184
Opelika city,Alabama,26477
Opp city,Alabama,6659
Orange Beach city,Alabama,5441
Orrville town,Alabama,204
Owens Cross Roads town,Alabama,1521
Oxford city,Alabama,21348
Ozark city,Alabama,14907
Paint Rock town,Alabama,210
Parrish town,Alabama,982
Pelham city,Alabama,21352
Pell City city,Alabama,12695
Perdido Beach town,Alabama,581
Petrey town,Alabama,58
Phenix City city,Alabama,32822
Pickensville town,Alabama,608
Piedmont city,Alabama,4878
Pike Road town,Alabama,5406
Pinckard town,Alabama,647
Pine Apple town,Alabama,132
Pine Hill town,Alabama,975
Pinson city,Alabama,7163
Pisgah town,Alabama,722
Pleasant Grove city,Alabama,10110
Pleasant Groves town,Alabama,420
Pollard town,Alabama,137
Powell town,Alabama,955
Prattville city,Alabama,33960
Priceville town,Alabama,2658
Prichard city,Alabama,22659
Providence town,Alabama,223
Ragland town,Alabama,1639
Rainbow City city,Alabama,9602
Rainsville city,Alabama,4948
Ranburne town,Alabama,409
Red Bay city,Alabama,3158
Red Level town,Alabama,487
Reece City town,Alabama,653
Reform town,Alabama,1702
Rehobeth town,Alabama,1297
Ridgeville town,Alabama,112
River Falls town,Alabama,526
Riverside town,Alabama,2208
Roanoke city,Alabama,6074
Robertsdale city,Alabama,5276
Rockford town,Alabama,477
Rogersville town,Alabama,1257
Rosa town,Alabama,316
Russellville city,Alabama,9830
Rutledge town,Alabama,467
St. Florian town,Alabama,413
Samson city,Alabama,1940
Sand Rock town,Alabama,560
Sanford town,Alabama,241
Saraland city,Alabama,13405
Sardis City town,Alabama,1704
Satsuma city,Alabama,6168
Scottsboro city,Alabama,14770
Section town,Alabama,770
Selma city,Alabama,20756
Sheffield city,Alabama,9039
Shiloh town,Alabama,274
Shorter town,Alabama,474
Silas town,Alabama,452
Silverhill town,Alabama,706
Sipsey town,Alabama,437
Skyline town,Alabama,851
Smiths Station city,Alabama,4926
Snead town,Alabama,835
Somerville town,Alabama,724
Southside city,Alabama,8412
South Vinemont town,Alabama,749
Spanish Fort city,Alabama,6798
Springville city,Alabama,4080
Steele town,Alabama,1043
Stevenson city,Alabama,2046
Sulligent city,Alabama,1927
Sumiton city,Alabama,2520
Summerdale town,Alabama,862
Susan Moore town,Alabama,763
Sylacauga city,Alabama,12749
Sylvania town,Alabama,1837
Sylvan Springs town,Alabama,1542
Talladega city,Alabama,15676
Talladega Springs town,Alabama,166
Tallassee city,Alabama,4819
Tarrant city,Alabama,6397
Taylor town,Alabama,2375
Thomaston town,Alabama,417
Thomasville city,Alabama,4209
Town Creek town,Alabama,1100
Trafford town,Alabama,646
Triana town,Alabama,496
Troy city,Alabama,18033
Trussville city,Alabama,19933
Tuscaloosa city,Alabama,90468
Tuscumbia city,Alabama,8423
Tuskegee city,Alabama,9865
Twin town,Alabama,399
Union Grove town,Alabama,77
Union Springs city,Alabama,3980
Uniontown town,Alabama,1775
Valley city,Alabama,9524
Valley Grande city,Alabama,4020
Vance town,Alabama,1529
Vernon city,Alabama,2000
Vestavia Hills city,Alabama,34033
Vina town,Alabama,358
Vincent town,Alabama,1988
Vredenburgh town,Alabama,312
Wadley town,Alabama,751
Waldo town,Alabama,283
Walnut Grove town,Alabama,698
Warrior city,Alabama,3176
Waterloo town,Alabama,203
Weaver city,Alabama,3038
Webb town,Alabama,1430
Wedowee town,Alabama,823
West Blocton town,Alabama,1240
West Jefferson town,Alabama,338
Westover town,Alabama,1275
West Point town,Alabama,586
Wetumpka city,Alabama,6528
White Hall town,Alabama,858
Wilsonville town,Alabama,1827
Wilton town,Alabama,687
Winfield city,Alabama,4717
Woodstock town,Alabama,1428
Woodville town,Alabama,746
Yellow Bluff town,Alabama,188
York city,Alabama,2538
Autauga County,Alabama,54571
Prattville city (pt.),Alabama,32168
Balance of Autauga County,Alabama,21245
Baldwin County,Alabama,182265
Balance of Baldwin County,Alabama,89449
Barbour County,Alabama,27457
Balance of Barbour County,Alabama,9019
Bibb County,Alabama,22915
Woodstock town (pt.),Alabama,1330
Balance of Bibb County,Alabama,12571
Blount County,Alabama,57322
Altoona town (pt.),Alabama,30
County Line town (pt.),Alabama,197
Garden City town (pt.),Alabama,0
Balance of Blount County,Alabama,42618
Bullock County,Alabama,10914
Balance of Bullock County,Alabama,6435
Butler County,Alabama,20947
McKenzie town (pt.),Alabama,522
Balance of Butler County,Alabama,10552
Calhoun County,Alabama,118572
Glencoe city (pt.),Alabama,38
Oxford city (pt.),Alabama,17197
Southside city (pt.),Alabama,155
Balance of Calhoun County,Alabama,55671
Chambers County,Alabama,34215
Balance of Chambers County,Alabama,14858
Cherokee County,Alabama,25989
Collinsville town (pt.),Alabama,21
Sand Rock town (pt.),Alabama,537
Balance of Cherokee County,Alabama,18951
Chilton County,Alabama,43643
Balance of Chilton County,Alabama,29655
Choctaw County,Alabama,13859
Balance of Choctaw County,Alabama,10307
Clarke County,Alabama,25833
Balance of Clarke County,Alabama,14202
Clay County,Alabama,13932
Balance of Clay County,Alabama,9500
Cleburne County,Alabama,14972
Balance of Cleburne County,Alabama,10597
Coffee County,Alabama,49948
Enterprise city (pt.),Alabama,26139
Balance of Coffee County,Alabama,18183
Colbert County,Alabama,54428
Balance of Colbert County,Alabama,21032
Conecuh County,Alabama,13228
Balance of Conecuh County,Alabama,8411
Coosa County,Alabama,11539
Balance of Coosa County,Alabama,9370
Covington County,Alabama,37765
Balance of Covington County,Alabama,16436
Crenshaw County,Alabama,13906
Balance of Crenshaw County,Alabama,9256
Cullman County,Alabama,80406
Arab city (pt.),Alabama,27
Balance of Cullman County,Alabama,55816
Dale County,Alabama,50251
Dothan city (pt.),Alabama,887
Balance of Dale County,Alabama,19887
Dallas County,Alabama,43820
Balance of Dallas County,Alabama,18840
DeKalb County,Alabama,71109
Balance of DeKalb County,Alabama,38424
Elmore County,Alabama,79303
Tallassee city (pt.),Alabama,3110
Balance of Elmore County,Alabama,48736
Escambia County,Alabama,38319
Balance of Escambia County,Alabama,18478
Etowah County,Alabama,104430
Boaz city (pt.),Alabama,1109
Sardis City town (pt.),Alabama,1698
Balance of Etowah County,Alabama,29086
Fayette County,Alabama,17241
Glen Allen town (pt.),Alabama,458
Balance of Fayette County,Alabama,10031
Franklin County,Alabama,31704
Balance of Franklin County,Alabama,16922
Geneva County,Alabama,26790
Taylor town (pt.),Alabama,7
Balance of Geneva County,Alabama,13904
Greene County,Alabama,9045
Balance of Greene County,Alabama,4897
Hale County,Alabama,15760
Moundville town (pt.),Alabama,1705
Balance of Hale County,Alabama,11016
Henry County,Alabama,17302
Balance of Henry County,Alabama,9457
Houston County,Alabama,101547
Balance of Houston County,Alabama,22377
Jackson County,Alabama,53227
Balance of Jackson County,Alabama,28335
Jefferson County,Alabama,658466
Argo town (pt.),Alabama,61
Birmingham city (pt.),Alabama,210609
Helena city (pt.),Alabama,2225
Hoover city (pt.),Alabama,58582
Leeds city (pt.),Alabama,9809
Sumiton city (pt.),Alabama,16
Trussville city (pt.),Alabama,19450
Vestavia Hills city (pt.),Alabama,34019
Balance of Jefferson County,Alabama,108192
Lamar County,Alabama,14564
Balance of Lamar County,Alabama,8703
Lauderdale County,Alabama,92709
Balance of Lauderdale County,Alabama,49392
Lawrence County,Alabama,34339
Balance of Lawrence County,Alabama,27975
Lee County,Alabama,140247
Notasulga town (pt.),Alabama,75
Phenix City city (pt.),Alabama,4153
Balance of Lee County,Alabama,51009
Limestone County,Alabama,82782
Decatur city (pt.),Alabama,84
Madison city (pt.),Alabama,3453
Balance of Limestone County,Alabama,54035
Lowndes County,Alabama,11299
Balance of Lowndes County,Alabama,6646
Macon County,Alabama,21452
Balance of Macon County,Alabama,10074
Madison County,Alabama,334811
Balance of Madison County,Alabama,111114
Marengo County,Alabama,21027
Balance of Marengo County,Alabama,10243
Marion County,Alabama,30776
Haleyville city (pt.),Alabama,48
Balance of Marion County,Alabama,13407
Marshall County,Alabama,93019
Balance of Marshall County,Alabama,45474
Mobile County,Alabama,412992
Balance of Mobile County,Alabama,158342
Monroe County,Alabama,23068
Montgomery County,Alabama,229363
Balance of Montgomery County,Alabama,18193
Morgan County,Alabama,119490
Balance of Morgan County,Alabama,42361
Perry County,Alabama,10591
Balance of Perry County,Alabama,5130
Pickens County,Alabama,19746
Balance of Pickens County,Alabama,12061
Pike County,Alabama,32899
Balance of Pike County,Alabama,12345
Randolph County,Alabama,22913
Balance of Randolph County,Alabama,15081
Russell County,Alabama,52947
Balance of Russell County,Alabama,23725
St. Clair County,Alabama,83593
Balance of St. Clair County,Alabama,33626
Shelby County,Alabama,195085
Balance of Shelby County,Alabama,62024
Sumter County,Alabama,13763
Balance of Sumter County,Alabama,6771
Talladega County,Alabama,82291
Balance of Talladega County,Alabama,35889
Tallapoosa County,Alabama,41616
Balance of Tallapoosa County,Alabama,18918
Tuscaloosa County,Alabama,194656
Balance of Tuscaloosa County,Alabama,72151
Walker County,Alabama,67023
Nauvoo town (pt.),Alabama,220
Balance of Walker County,Alabama,41242
Washington County,Alabama,17581
Balance of Washington County,Alabama,15509
Wilcox County,Alabama,11670
Balance of Wilcox County,Alabama,8329
Winston County,Alabama,24484
Balance of Winston County,Alabama,17464
Alaska,Alaska,710231
Akhiok city,Alaska,71
Alakanuk city,Alaska,677
Aleknagik city,Alaska,219
Allakaket city,Alaska,105
Anaktuvuk Pass city,Alaska,324
Anchorage municipality,Alaska,291826
Anderson city,Alaska,246
Angoon city,Alaska,459
Aniak city,Alaska,501
Anvik city,Alaska,85
Atqasuk city,Alaska,233
Barrow city,Alaska,4212
Bethel city,Alaska,6080
Bettles city,Alaska,12
Brevig Mission city,Alaska,388
Buckland city,Alaska,416
Chefornak city,Alaska,418
Chevak city,Alaska,938
Chignik city,Alaska,91
Chuathbaluk city,Alaska,118
Clark's Point city,Alaska,62
Cold Bay city,Alaska,108
Craig city,Alaska,1201
Deering city,Alaska,122
Delta Junction city,Alaska,958
Dillingham city,Alaska,2329
Eagle city,Alaska,86
Eek city,Alaska,296
Egegik city,Alaska,109
Elim city,Alaska,330
Emmonak city,Alaska,762
Fairbanks city,Alaska,31535
False Pass city,Alaska,35
Galena city,Alaska,470
Gambell city,Alaska,681
Golovin city,Alaska,156
Goodnews Bay city,Alaska,243
Grayling city,Alaska,194
Gustavus city,Alaska,442
Holy Cross city,Alaska,178
Homer city,Alaska,5003
Hoonah city,Alaska,760
Hooper Bay city,Alaska,1093
Houston city,Alaska,1912
Huslia city,Alaska,275
Hydaburg city,Alaska,376
Juneau city and borough,Alaska,31275
Kake city,Alaska,557
Kaktovik city,Alaska,239
Kaltag city,Alaska,190
Kenai city,Alaska,7100
Kiana city,Alaska,361
Kivalina city,Alaska,374
Klawock city,Alaska,755
Kobuk city,Alaska,151
Kodiak city,Alaska,6130
Kotlik city,Alaska,577
Kotzebue city,Alaska,3201
Kwethluk city,Alaska,721
Larsen Bay city,Alaska,87
Marshall city,Alaska,414
Mekoryuk city,Alaska,191
Mountain Village city,Alaska,813
Napaskiak city,Alaska,405
Nenana city,Alaska,378
Nightmute city,Alaska,280
Nome city,Alaska,3598
Nondalton city,Alaska,164
Noorvik city,Alaska,668
North Pole city,Alaska,2117
Nuiqsut city,Alaska,402
Nulato city,Alaska,264
Old Harbor city,Alaska,218
Ouzinkie city,Alaska,161
Palmer city,Alaska,5937
Pelican city,Alaska,88
Petersburg city,Alaska,2948
Pilot Point city,Alaska,68
Pilot Station city,Alaska,568
Point Hope city,Alaska,674
Port Heiden city,Alaska,102
Quinhagak city,Alaska,669
St. Mary's city,Alaska,507
St. Michael city,Alaska,401
St. Paul city,Alaska,479
Sand Point city,Alaska,976
Savoonga city,Alaska,671
Saxman city,Alaska,411
Selawik city,Alaska,829
Seldovia city,Alaska,255
Seward city,Alaska,2693
Shageluk city,Alaska,83
Shaktoolik city,Alaska,251
Shishmaref city,Alaska,563
Shungnak city,Alaska,262
Sitka city and borough,Alaska,8881
Soldotna city,Alaska,4163
Stebbins city,Alaska,556
Teller city,Alaska,229
Tenakee Springs city,Alaska,131
Thorne Bay city,Alaska,471
Togiak city,Alaska,817
Toksook Bay city,Alaska,590
Unalakleet city,Alaska,688
Unalaska city,Alaska,4376
Valdez city,Alaska,3976
Wasilla city,Alaska,7831
Wrangell city and borough,Alaska,2369
Aleutians East Borough,Alaska,3141
Balance of Aleutians East Borough,Alaska,57
Aleutians West Census Area,Alaska,5561
Bethel Census Area,Alaska,17013
Balance of Bethel Census Area,Alaska,4752
Bristol Bay Borough,Alaska,997
Denali Borough,Alaska,1826
Balance of Denali Borough,Alaska,1580
Dillingham Census Area,Alaska,4847
Balance of Dillingham Census Area,Alaska,353
Fairbanks North Star Borough,Alaska,97581
Balance of Fairbanks North Star Borough,Alaska,63929
Haines Borough,Alaska,2508
Hoonah-Angoon Census Area,Alaska,2150
Kenai Peninsula Borough,Alaska,55400
Balance of Kenai Peninsula Borough,Alaska,35714
Ketchikan Gateway Borough,Alaska,13477
Balance of Ketchikan Gateway Borough,Alaska,5016
Kodiak Island Borough,Alaska,13592
Balance of Kodiak Island Borough,Alaska,6731
Lake and Peninsula Borough,Alaska,1631
Balance of Lake and Peninsula Borough,Alaska,907
Matanuska-Susitna Borough,Alaska,88995
Balance of Matanuska-Susitna Borough,Alaska,73315
Nome Census Area,Alaska,9492
Balance of Nome Census Area,Alaska,198
North Slope Borough,Alaska,9430
Balance of North Slope Borough,Alaska,2790
Northwest Arctic Borough,Alaska,7523
Balance of Northwest Arctic Borough,Alaska,881
Petersburg Census Area,Alaska,3815
Balance of Petersburg Census Area,Alaska,231
Prince of Wales-Hyder Census Area,Alaska,5559
Balance of Prince of Wales-Hyder Census Area,Alaska,2531
Skagway Municipality,Alaska,968
Southeast Fairbanks Census Area,Alaska,7029
Balance of Southeast Fairbanks Census Area,Alaska,5985
Valdez-Cordova Census Area,Alaska,9636
Wade Hampton Census Area,Alaska,7459
Yakutat City and Borough,Alaska,662
Yukon-Koyukuk Census Area,Alaska,5588
Balance of Yukon-Koyukuk Census Area,Alaska,1746
Arizona,Arizona,6392017
Apache Junction city,Arizona,35840
Avondale city,Arizona,76238
Benson city,Arizona,5105
Bisbee city,Arizona,5575
Buckeye town,Arizona,50876
Bullhead City city,Arizona,39540
Camp Verde town,Arizona,10873
Carefree town,Arizona,3363
Casa Grande city,Arizona,48571
Cave Creek town,Arizona,5015
Chandler city,Arizona,236123
Chino Valley town,Arizona,10817
Clarkdale town,Arizona,4097
Clifton town,Arizona,3311
Colorado City town,Arizona,4821
Coolidge city,Arizona,11825
Cottonwood city,Arizona,11265
Dewey-Humboldt town,Arizona,3894
Douglas city,Arizona,17378
Duncan town,Arizona,696
Eagar town,Arizona,4885
El Mirage city,Arizona,31797
Eloy city,Arizona,16631
Flagstaff city,Arizona,65870
Florence town,Arizona,25536
Fountain Hills town,Arizona,22489
Fredonia town,Arizona,1314
Gila Bend town,Arizona,1922
Gilbert town,Arizona,208453
Glendale city,Arizona,226721
Globe city,Arizona,7532
Goodyear city,Arizona,65275
Guadalupe town,Arizona,5523
Holbrook city,Arizona,5053
Huachuca City town,Arizona,1853
Kearny town,Arizona,1950
Kingman city,Arizona,28068
Lake Havasu City city,Arizona,52527
Litchfield Park city,Arizona,5476
Mammoth town,Arizona,1426
Marana town,Arizona,34961
Maricopa city,Arizona,43482
Mesa city,Arizona,439041
Nogales city,Arizona,20837
Oro Valley town,Arizona,41011
Page city,Arizona,7247
Paradise Valley town,Arizona,12820
Parker town,Arizona,3083
Patagonia town,Arizona,913
Payson town,Arizona,15301
Peoria city,Arizona,154065
Phoenix city,Arizona,1445632
Pima town,Arizona,2387
Pinetop-Lakeside town,Arizona,4282
Prescott city,Arizona,39843
Prescott Valley town,Arizona,38822
Quartzsite town,Arizona,3677
Queen Creek town,Arizona,26361
Safford city,Arizona,9566
Sahuarita town,Arizona,25259
San Luis city,Arizona,25505
Scottsdale city,Arizona,217385
Show Low city,Arizona,10660
Sierra Vista city,Arizona,43888
Snowflake town,Arizona,5590
Somerton city,Arizona,14287
South Tucson city,Arizona,5652
Springerville town,Arizona,1961
Star Valley town,Arizona,2310
Superior town,Arizona,2837
Surprise city,Arizona,117517
Tempe city,Arizona,161719
Thatcher town,Arizona,4865
Tolleson city,Arizona,6545
Tombstone city,Arizona,1380
Tucson city,Arizona,520116
Wellton town,Arizona,2882
Wickenburg town,Arizona,6363
Willcox city,Arizona,3757
Williams city,Arizona,3023
Winslow city,Arizona,9655
Youngtown town,Arizona,6156
Yuma city,Arizona,93064
Apache County,Arizona,71518
Balance of Apache County,Arizona,61192
Cochise County,Arizona,131346
Balance of Cochise County,Arizona,52410
Coconino County,Arizona,134421
Sedona city (pt.),Arizona,2842
Balance of Coconino County,Arizona,54125
Gila County,Arizona,53597
Balance of Gila County,Arizona,25602
Graham County,Arizona,37220
Balance of Graham County,Arizona,20402
Greenlee County,Arizona,8437
Balance of Greenlee County,Arizona,4430
La Paz County,Arizona,20489
Balance of La Paz County,Arizona,13729
Maricopa County,Arizona,3817117
Apache Junction city (pt.),Arizona,294
Peoria city (pt.),Arizona,154058
Queen Creek town (pt.),Arizona,25912
Balance of Maricopa County,Arizona,284404
Mohave County,Arizona,200186
Balance of Mohave County,Arizona,75230
Navajo County,Arizona,107449
Balance of Navajo County,Arizona,68097
Pima County,Arizona,980263
Balance of Pima County,Arizona,353264
Pinal County,Arizona,375770
Balance of Pinal County,Arizona,187517
Santa Cruz County,Arizona,47420
Balance of Santa Cruz County,Arizona,25670
Yavapai County,Arizona,211033
Balance of Yavapai County,Arizona,83782
Yuma County,Arizona,195751
Balance of Yuma County,Arizona,60013
Arkansas,Arkansas,2915918
Adona city,Arkansas,209
Alexander city,Arkansas,2901
Alicia town,Arkansas,124
Alma city,Arkansas,5419
Alpena town,Arkansas,392
Altheimer city,Arkansas,984
Arkadelphia city,Arkansas,10714
Arkansas City city,Arkansas,366
Ashdown city,Arkansas,4723
Ash Flat city,Arkansas,1082
Atkins city,Arkansas,3016
Augusta city,Arkansas,2199
Austin city,Arkansas,2038
Bald Knob city,Arkansas,2897
Barling city,Arkansas,4649
Bassett town,Arkansas,173
Batesville city,Arkansas,10248
Bay city,Arkansas,1801
Bearden city,Arkansas,966
Beaver town,Arkansas,100
Beebe city,Arkansas,7315
Beedeville town,Arkansas,107
Bella Vista town,Arkansas,26461
Bellefonte town,Arkansas,454
Belleville city,Arkansas,441
Benton city,Arkansas,30681
Bentonville city,Arkansas,35301
Bergman town,Arkansas,439
Berryville city,Arkansas,5356
Bethel Heights city,Arkansas,2372
Biggers town,Arkansas,347
Birdsong town,Arkansas,41
Black Springs town,Arkansas,99
Blytheville city,Arkansas,15620
Bodcaw town,Arkansas,138
Bonanza city,Arkansas,575
Bono city,Arkansas,2131
Booneville city,Arkansas,3990
Bradford city,Arkansas,759
Bradley city,Arkansas,628
Branch city,Arkansas,367
Briarcliff city,Arkansas,236
Brinkley city,Arkansas,3188
Brookland city,Arkansas,1642
Bryant city,Arkansas,16688
Cabot city,Arkansas,23776
Caddo Valley town,Arkansas,635
Caldwell town,Arkansas,555
Cale town,Arkansas,79
Calico Rock city,Arkansas,1545
Calion city,Arkansas,494
Cammack Village city,Arkansas,768
Carlisle city,Arkansas,2214
Carthage city,Arkansas,343
Casa town,Arkansas,171
Cash town,Arkansas,342
